행정구역,인구수,연월,성별,연도
전국,51327916,2014,전체,2014
서울특별시,10103233,2014,전체,2014
부산광역시,3519401,2014,전체,2014
대구광역시,2493264,2014,전체,2014
인천광역시,2902608,2014,전체,2014
광주광역시,1475884,2014,전체,2014
대전광역시,1531809,2014,전체,2014
울산광역시,1166377,2014,전체,2014
세종특별자치시,156125,2014,전체,2014
경기도,12357830,2014,전체,2014
강원특별자치도,1544442,2014,전체,2014
충청북도,1578933,2014,전체,2014
충청남도,2062273,2014,전체,2014
전북특별자치도,1871560,2014,전체,2014
전라남도,1905780,2014,전체,2014
경상북도,2700794,2014,전체,2014
경상남도,3350257,2014,전체,2014
제주특별자치도,607346,2014,전체,2014
전국,25669296,2014.12,남자,2014
서울특별시,4979768,2014.12,남자,2014
부산광역시,1740417,2014.12,남자,2014
대구광역시,1241119,2014.12,남자,2014
인천광역시,1459074,2014.12,남자,2014
광주광역시,731339,2014.12,남자,2014
대전광역시,766497,2014.12,남자,2014
울산광역시,600904,2014.12,남자,2014
세종특별자치시,78862,2014.12,남자,2014
경기도,6219813,2014.12,남자,2014
강원특별자치도,778007,2014.12,남자,2014
충청북도,796141,2014.12,남자,2014
충청남도,1045892,2014.12,남자,2014
전북특별자치도,931536,2014.12,남자,2014
전라남도,951975,2014.12,남자,2014
경상북도,1356182,2014.12,남자,2014
경상남도,1687114,2014.12,남자,2014
제주특별자치도,304656,2014.12,남자,2014
전국,25658620,2014.12,여자,2014
서울특별시,5123465,2014.12,여자,2014
부산광역시,1778984,2014.12,여자,2014
대구광역시,1252145,2014.12,여자,2014
인천광역시,1443534,2014.12,여자,2014
광주광역시,744545,2014.12,여자,2014
대전광역시,765312,2014.12,여자,2014
울산광역시,565473,2014.12,여자,2014
세종특별자치시,77263,2014.12,여자,2014
경기도,6138017,2014.12,여자,2014
강원특별자치도,766435,2014.12,여자,2014
충청북도,782792,2014.12,여자,2014
충청남도,1016381,2014.12,여자,2014
전북특별자치도,940024,2014.12,여자,2014
전라남도,953805,2014.12,여자,2014
경상북도,1344612,2014.12,여자,2014
경상남도,1663143,2014.12,여자,2014
제주특별자치도,302690,2014.12,여자,2014
전국,51529338,2015,전체,2015
서울특별시,10022181,2015,전체,2015
부산광역시,3513777,2015,전체,2015
대구광역시,2487829,2015,전체,2015
인천광역시,2925815,2015,전체,2015
광주광역시,1472199,2015,전체,2015
대전광역시,1518775,2015,전체,2015
울산광역시,1173534,2015,전체,2015
세종특별자치시,210884,2015,전체,2015
경기도,12522606,2015,전체,2015
강원특별자치도,1549507,2015,전체,2015
충청북도,1583952,2015,전체,2015
충청남도,2077649,2015,전체,2015
전북특별자치도,1869711,2015,전체,2015
전라남도,1908996,2015,전체,2015
경상북도,2702826,2015,전체,2015
경상남도,3364702,2015,전체,2015
제주특별자치도,624395,2015,전체,2015
전국,25758186,2015.12,남자,2015
서울특별시,4930943,2015.12,남자,2015
부산광역시,1735570,2015.12,남자,2015
대구광역시,1237291,2015.12,남자,2015
인천광역시,1469869,2015.12,남자,2015
광주광역시,729662,2015.12,남자,2015
대전광역시,759778,2015.12,남자,2015
울산광역시,604889,2015.12,남자,2015
세종특별자치시,105752,2015.12,남자,2015
경기도,6299812,2015.12,남자,2015
강원특별자치도,781434,2015.12,남자,2015
충청북도,798896,2015.12,남자,2015
충청남도,1054439,2015.12,남자,2015
전북특별자치도,930255,2015.12,남자,2015
전라남도,953881,2015.12,남자,2015
경상북도,1357306,2015.12,남자,2015
경상남도,1694981,2015.12,남자,2015
제주특별자치도,313428,2015.12,남자,2015
전국,25771152,2015.12,여자,2015
서울특별시,5091238,2015.12,여자,2015
부산광역시,1778207,2015.12,여자,2015
대구광역시,1250538,2015.12,여자,2015
인천광역시,1455946,2015.12,여자,2015
광주광역시,742537,2015.12,여자,2015
대전광역시,758997,2015.12,여자,2015
울산광역시,568645,2015.12,여자,2015
세종특별자치시,105132,2015.12,여자,2015
경기도,6222794,2015.12,여자,2015
강원특별자치도,768073,2015.12,여자,2015
충청북도,785056,2015.12,여자,2015
충청남도,1023210,2015.12,여자,2015
전북특별자치도,939456,2015.12,여자,2015
전라남도,955115,2015.12,여자,2015
경상북도,1345520,2015.12,여자,2015
경상남도,1669721,2015.12,여자,2015
제주특별자치도,310967,2015.12,여자,2015
전국,51696216,2016,전체,2016
서울특별시,9930616,2016,전체,2016
부산광역시,3498529,2016,전체,2016
대구광역시,2484557,2016,전체,2016
인천광역시,2943069,2016,전체,2016
광주광역시,1469214,2016,전체,2016
대전광역시,1514370,2016,전체,2016
울산광역시,1172304,2016,전체,2016
세종특별자치시,243048,2016,전체,2016
경기도,12716780,2016,전체,2016
강원특별자치도,1550806,2016,전체,2016
충청북도,1591625,2016,전체,2016
충청남도,2096727,2016,전체,2016
전북특별자치도,1864791,2016,전체,2016
전라남도,1903914,2016,전체,2016
경상북도,2700398,2016,전체,2016
경상남도,3373871,2016,전체,2016
제주특별자치도,641597,2016,전체,2016
전국,25827594,2016.12,남자,2016
서울특별시,4876789,2016.12,남자,2016
부산광역시,1725607,2016.12,남자,2016
대구광역시,1234169,2016.12,남자,2016
인천광역시,1477671,2016.12,남자,2016
광주광역시,728137,2016.12,남자,2016
대전광역시,757289,2016.12,남자,2016
울산광역시,603797,2016.12,남자,2016
세종특별자치시,121505,2016.12,남자,2016
경기도,6395453,2016.12,남자,2016
강원특별자치도,781146,2016.12,남자,2016
충청북도,803240,2016.12,남자,2016
충청남도,1064765,2016.12,남자,2016
전북특별자치도,927505,2016.12,남자,2016
전라남도,951889,2016.12,남자,2016
경상북도,1356868,2016.12,남자,2016
경상남도,1699219,2016.12,남자,2016
제주특별자치도,322545,2016.12,남자,2016
전국,25868622,2016.12,여자,2016
서울특별시,5053827,2016.12,여자,2016
부산광역시,1772922,2016.12,여자,2016
대구광역시,1250388,2016.12,여자,2016
인천광역시,1465398,2016.12,여자,2016
광주광역시,741077,2016.12,여자,2016
대전광역시,757081,2016.12,여자,2016
울산광역시,568507,2016.12,여자,2016
세종특별자치시,121543,2016.12,여자,2016
경기도,6321327,2016.12,여자,2016
강원특별자치도,769660,2016.12,여자,2016
충청북도,788385,2016.12,여자,2016
충청남도,1031962,2016.12,여자,2016
전북특별자치도,937286,2016.12,여자,2016
전라남도,952025,2016.12,여자,2016
경상북도,1343530,2016.12,여자,2016
경상남도,1674652,2016.12,여자,2016
제주특별자치도,319052,2016.12,여자,2016
전국,51778544,2017,전체,2017
서울특별시,9857426,2017,전체,2017
부산광역시,3470653,2017,전체,2017
대구광역시,2475231,2017,전체,2017
인천광역시,2948542,2017,전체,2017
광주광역시,1463770,2017,전체,2017
대전광역시,1502227,2017,전체,2017
울산광역시,1165132,2017,전체,2017
세종특별자치시,280100,2017,전체,2017
경기도,12873895,2017,전체,2017
강원특별자치도,1550142,2017,전체,2017
충청북도,1594432,2017,전체,2017
충청남도,2116770,2017,전체,2017
전북특별자치도,1854607,2017,전체,2017
전라남도,1896424,2017,전체,2017
경상북도,2691706,2017,전체,2017
경상남도,3380404,2017,전체,2017
제주특별자치도,657083,2017,전체,2017
전국,25855919,2017.12,남자,2017
서울특별시,4830206,2017.12,남자,2017
부산광역시,1709508,2017.12,남자,2017
대구광역시,1227814,2017.12,남자,2017
인천광역시,1479597,2017.12,남자,2017
광주광역시,725295,2017.12,남자,2017
대전광역시,750969,2017.12,남자,2017
울산광역시,599480,2017.12,남자,2017
세종특별자치시,139734,2017.12,남자,2017
경기도,6475323,2017.12,남자,2017
강원특별자치도,780635,2017.12,남자,2017
충청북도,805091,2017.12,남자,2017
충청남도,1076270,2017.12,남자,2017
전북특별자치도,922307,2017.12,남자,2017
전라남도,948290,2017.12,남자,2017
경상북도,1353164,2017.12,남자,2017
경상남도,1701413,2017.12,남자,2017
제주특별자치도,330823,2017.12,남자,2017
전국,25922625,2017.12,여자,2017
서울특별시,5027220,2017.12,여자,2017
부산광역시,1761145,2017.12,여자,2017
대구광역시,1247417,2017.12,여자,2017
인천광역시,1468945,2017.12,여자,2017
광주광역시,738475,2017.12,여자,2017
대전광역시,751258,2017.12,여자,2017
울산광역시,565652,2017.12,여자,2017
세종특별자치시,140366,2017.12,여자,2017
경기도,6398572,2017.12,여자,2017
강원특별자치도,769507,2017.12,여자,2017
충청북도,789341,2017.12,여자,2017
